state,labeler_code,total_prescriptions,total_medicaid_spending,drug_count
AL,75907,3615.0,91212.26,13
AL,17270,3515.0,167759.41,1
AL,00430,3370.0,1184664.77,1
AL,00574,3264.0,117642.31999999999,13
AL,68094,3244.0,81758.31999999999,4
AL,69230,2938.0,35140.35,3
AL,70127,2789.0,10036915.809999999,1
AL,42192,2787.0,97075.08,4
AL,43975,2754.0,95711.67,4
AL,69680,2719.0,33975.049999999996,2
AL,65649,2710.0,3286108.1300000004,5
AL,62135,2690.0,155689.0,6
AL,00548,2662.0,829912.46,3
AL,71376,2600.0,1186906.29,1
AL,65757,2557.0,5433688.87,8
AL,00480,2546.0,1330867.47,18
AL,49702,2488.0,7655692.51,6
AL,68682,2428.0,257792.6,9
AL,64950,2374.0,1285950.51,9
AL,72252,2354.0,3204844.34,4
AL,61442,2316.0,28673.670000000002,3
AL,72241,2251.0,24562.02,5
AL,25021,2225.0,22210.61,18
AL,23359,2157.0,101460.54000000001,2
AL,49502,2128.0,688498.99,3
AL,51759,2127.0,3498781.56,3
AL,58657,2110.0,38930.88,8
AL,59310,1991.0,332031.4,2
AL,44523,1987.0,82240.70999999999,2
AL,72060,1910.0,3105421.2199999997,3
AL,52246,1893.0,461262.99,1
AL,71930,1892.0,56411.020000000004,4
AL,83257,1880.0,787796.44,4
AL,00069,1802.0,3937740.14,14
AL,66758,1762.0,301794.62,2
AL,66220,1754.0,558806.66,1
AL,43386,1737.0,152857.04,5
AL,73059,1724.0,950771.1799999999,1
AL,71699,1662.0,2086332.98,2
AL,54643,1649.0,297227.49,2
AL,54482,1615.0,250981.05,2
AL,62037,1597.0,48520.57,3
AL,53489,1509.0,18913.25,4
AL,70165,1471.0,867942.55,2
AL,14539,1408.0,18197.9,1
AL,70512,1395.0,15163.449999999999,3
AL,75826,1372.0,17008.42,4
AL,51862,1333.0,220870.63,11
AL,70677,1319.0,17520.03,8
AL,50419,1302.0,2012030.47,7
AL,28595,1271.0,307518.8,1
AL,00469,1236.0,824270.07,4
AL,57894,1229.0,15908637.040000001,8
AL,69918,1197.0,37642.12,5
AL,70860,1191.0,689.95,2
AL,51167,1188.0,30946842.7,3
AL,64764,1153.0,1765326.1099999999,3
AL,60758,1136.0,40630.26,3
AL,00046,1124.0,249581.3,5
AL,69292,1115.0,17302.02,3
AL,61269,1105.0,145640.46,3
AL,62175,1081.0,43618.8,7
AL,83980,1053.0,14986.24,3
AL,55724,1045.0,864280.37,2
AL,00990,1031.0,2568.42,4
AL,72511,1025.0,565637.61,1
AL,62542,1021.0,191544.14,1
AL,76385,1001.0,14277.81,8
AL,69616,982.0,1080918.32,7
AL,63402,975.0,1823891.97,5
AL,51660,949.0,12213.82,6
AL,52536,932.0,292008.32,5
AL,70370,900.0,6968799.5,3
AL,00113,900.0,12609.51,3
AL,13925,892.0,22029.6,3
AL,00245,885.0,588586.9400000001,5
AL,71093,850.0,12015.11,5
AL,00032,820.0,3077067.1100000003,5
AL,39328,799.0,10210.1,3
AL,82293,788.0,15766.14,1
AL,68546,778.0,6856357.46,3
AL,00254,778.0,26270.11,3
AL,71671,776.0,244795.66,1
AL,71921,743.0,11931.93,6
AL,76045,722.0,2889.49,5
AL,00703,690.0,3340.33,6
AL,70748,676.0,26262.15,5
AL,52652,674.0,416709.17,5
AL,76282,660.0,9252.77,7
AL,39822,659.0,4394.87,2
AL,61755,652.0,599018.63,4
AL,49401,650.0,2555668.35,2
AL,66689,603.0,102683.31,5
AL,10572,591.0,20940.84,2
AL,59011,587.0,283612.47,1
AL,72065,578.0,331348.63,1
AL,59676,576.0,2030401.5,3
AL,13533,570.0,2402489.47,4
AL,72516,552.0,7515.97,2
AL,70000,546.0,7592.78,4
AL,63646,544.0,10849.74,1
AL,44206,537.0,968593.2,6
AL,00562,537.0,43007.159999999996,2
AL,61703,530.0,8243.29,4
AL,58406,526.0,4126027.57,1
AL,82625,511.0,208994.96,2
AL,52427,493.0,81915.37,2
AL,52268,493.0,74881.91,2
AL,73594,487.0,833162.8200000001,1
AL,42023,486.0,23289.14,4
AL,60793,476.0,85580.84,1
AL,81520,472.0,312083.49,1
AL,69784,469.0,52893.24,2
AL,73362,463.0,3967178.53,7
AL,54123,452.0,339706.76,4
AL,83745,446.0,23628.41,3
AL,59385,429.0,279943.99,7
AL,46287,425.0,105271.47,3
AL,72618,417.0,542376.04,1
AL,24658,416.0,4868.21,1
AL,73352,414.0,1400856.2000000002,2
AL,00944,410.0,2424129.94,5
AL,71993,353.0,863603.5499999999,3
AL,81968,346.0,333291.34,2
AL,00955,339.0,72027.29,2
AL,47426,337.0,70999.8,2
AL,42794,333.0,28546.960000000003,2
AL,49348,333.0,4949.6,1
AL,71349,330.0,342051.83,1
AL,51224,329.0,5063.5,3
AL,43068,325.0,644946.1599999999,6
AL,11527,316.0,5247.51,1
AL,62011,316.0,3934.36,4
AL,83831,315.0,250977.7,3
AL,29033,304.0,6588.59,4
AL,69639,297.0,151087.63,1
AL,61825,282.0,359333.07999999996,1
AL,68982,280.0,542538.16,1
AL,82580,279.0,229138.16,1
AL,73473,279.0,5886.27,2
AL,00037,272.0,60984.100000000006,1
AL,58468,266.0,686612.21,2
AL,81672,265.0,386656.81,1
AL,68992,265.0,376725.52,1
AL,82182,265.0,27084.47,2
AL,64406,264.0,2066590.11,2
AL,65219,260.0,331886.97000000003,4
AL,73336,260.0,125449.91,1
AL,71656,258.0,27445.08,3
AL,10370,255.0,123375.88,3
AL,70515,247.0,112067.87,2
AL,70727,240.0,79901.35,2
AL,65145,236.0,218.5,1
AL,72319,234.0,5499.96,3
AL,73562,223.0,940151.21,3
AL,84386,212.0,2770.68,1
AL,72626,206.0,1567993.6400000001,1
AL,65597,204.0,1533332.6,1
AL,76329,197.0,2048.65,4
AL,81298,194.0,545.3,1
AL,66794,193.0,46097.52,3
AL,66733,190.0,353238.53,1
AL,00065,189.0,36629.88,2
AL,75987,186.0,7490663.94,5
AL,73154,182.0,344609.43,2
AL,00052,179.0,116379.79000000001,2
AL,68308,178.0,105640.2,2
AL,69751,176.0,62810.67,1
AL,00008,175.0,937.8,1
AL,70594,174.0,18451.05,3
AL,72974,171.0,280745.26,2
AL,81952,169.0,10647.76,2
AL,59365,165.0,186439.0,1
AL,65250,163.0,74309.04,1
AL,62935,162.0,461275.19999999995,3
AL,42543,161.0,2979.3,1
AL,50881,156.0,440506.6,2
AL,68968,153.0,93501.62,5
AL,66215,150.0,1711092.09,3
AL,72606,146.0,349384.51,2
AL,43376,140.0,1641508.76,1
AL,82009,134.0,18450.05,3
AL,68727,130.0,1389161.8599999999,2
AL,00259,127.0,112058.57,1
AL,70505,126.0,8567.24,1
AL,60687,122.0,12100.31,2
AL,50222,119.0,348216.61,2
AL,69339,116.0,1385.33,3
AL,57970,114.0,307606.99,1
AL,43066,114.0,399.71,1
AL,50102,113.0,2079.59,3
AL,64370,108.0,65344.840000000004,1
AL,15054,106.0,575341.47,2
AL,71839,106.0,8714.17,3
AL,36000,104.0,621.1600000000001,1
AL,42367,103.0,381685.83999999997,1
AL,59922,103.0,130502.28,1
AL,10094,100.0,147974.64,2
AL,71571,97.0,50111.87,1
AL,00013,95.0,560333.3300000001,1
AL,00071,95.0,14807.029999999999,2
AL,83634,94.0,514.3,2
AL,54436,93.0,70822.22,2
AL,69547,92.0,4879.8,1
AL,71863,89.0,303893.24,1
AL,58151,89.0,15044.48,2
AL,59338,87.0,32727.27,1
AL,72893,85.0,58471.76,1
AL,42747,80.0,3597960.41,1
AL,72336,80.0,84682.25,1
AL,72572,79.0,123.75,4
AL,82576,78.0,308246.19,1
AL,55135,78.0,224394.32,1
AL,69543,76.0,8028.84,1
AL,72245,73.0,148573.32,1
AL,82260,73.0,6289.32,1
AL,66658,72.0,534068.4,1
AL,58914,71.0,1206.02,1
AL,73043,68.0,5484.21,2
AL,72819,66.0,3475.3,3
AL,68875,65.0,2922818.86,1
AL,50991,65.0,50421.09,2
AL,42494,65.0,3275.9700000000003,2
AL,60842,63.0,40617.49,1
AL,55494,63.0,38393.89,1
AL,70301,62.0,90762.91,1
AL,70114,59.0,83198.64,2
AL,59572,58.0,451977.69,2
AL,76961,57.0,116771.03,1
AL,10542,55.0,570.8299999999999,1
AL,10147,52.0,3114.5699999999997,1
AL,47783,51.0,2107016.32,2
AL,52747,51.0,1338.9,1
AL,71770,50.0,125908.09,1
AL,74157,50.0,100352.1,1
AL,80610,50.0,45550.94,1
AL,66685,50.0,721.5500000000001,1
AL,72829,49.0,1620641.78,1
AL,67386,49.0,171581.73,2
AL,80491,48.0,23139.870000000003,1
AL,00004,47.0,5697.71,2
AL,60432,47.0,3235.94,1
AL,59137,46.0,25687.4,1
AL,55566,45.0,7633.31,1
AL,83034,42.0,58369.850000000006,1
AL,10122,40.0,1053147.31,1
AL,51285,38.0,9412.96,1
AL,60923,37.0,2043593.68,1
AL,71715,36.0,305059.26,1
AL,00131,36.0,40166.42,3
AL,44087,35.0,318548.06,1
AL,64896,34.0,64080.5,1
