product_name,total_units,total_prescriptions,total_medicaid_spending,total_non_medicaid_spending,total_reimbursed,ndc_count,labeler_count
CRYSVITA (,4767.729,2039.0,56129861.04,626276.95,56756137.99,3,1
QELBREE,4778410.0,111362.0,56117242.3,1864674.05,57981916.35,4,1
VRAYLAR  C,1162257.0,34483.0,55956421.91,659816.52,56616238.43,4,1
AUSTEDO,554764.0,8565.0,55739181.22,361525.99,56100707.21,3,1
LAMOTRIGIN,208891965.126,3359802.0,55709546.88,2358985.56,58068532.44,149,25
QELBREE 20,4713694.0,110389.0,55457950.26,1596729.99,57054680.25,2,1
PAXLOVID,1169934.0,39771.0,55354348.480000004,1164468.78,56518817.26,5,1
XYWAV (CAL,1540890.0,3422.0,55315134.92,1437017.8800000001,56752152.8,1,1
OXCARBAZEP,146482773.98,1248250.0,55121991.25,2389977.01,57511968.26,65,19
REMODULIN,195486.2,5776.0,54625866.36,5270873.29,59896739.65,4,1
ILARIS,2747.247,2000.0,53970047.37,1205590.19,55175637.56,1,1
ZEPBOUND 1,105956.0,52959.0,53958589.39,652610.78,54611200.17,3,1
ORENCIA CL,38679.0,9492.0,53874133.5,962454.9199999999,54836588.42,1,1
LEVOTHYROX,254438481.919,5393720.0,53845106.75,616720.75,54461827.5,275,18
CALQUENCE,207797.0,3670.0,53530137.22,535840.93,54065978.15,1,1
QUETIAPINE,187743376.374,4402522.0,53527666.13,864665.75,54392331.88,202,21
LYBALVI,1039627.0,34648.0,53347368.19,1283961.69,54631329.88,4,1
ZTLIDO,4377103.0,97226.0,53343846.87,132478.4,53476325.27,2,1
CAPLYTA CA,984729.0,33233.0,53322787.37,598355.01,53921142.38,2,1
OPSUMIT,126463.0,4261.0,53177007.38,496994.68,53674002.06,1,1
FLUOXETINE,230774918.85,4832505.0,53011678.7,1004581.42,54016260.12,134,31
VEMLIDY 25,1077656.0,33022.0,52778293.94,200800.76,52979094.7,1,1
XCOPRI,1403681.48,39967.0,52429996.05,4204976.98,56634973.03,10,1
OPZELURA,1563380.0,24989.0,52358354.39,135947.29,52494301.68,1,1
ARIPIPRAZO,121099171.72,3471756.0,52254663.53,1853911.57,54108575.1,155,24
DEXMETHYLP,42334112.224,1256338.0,51840710.75,1896309.1,53737019.85,62,12
SKYRIZI,24065.802,3613.0,51698262.68,3074124.67,54772387.35,4,1
VALTOCO 10,159250.3,39650.0,51682062.3,4237457.15,55919519.45,2,1
STIOLTO RE,447106.0,102757.0,51681729.67,574424.71,52256154.38,2,1
ESCITALOPR,205697922.039,4854909.0,51486951.589999996,878538.69,52365490.28,78,18
PROMACTA T,120744.0,3222.0,51335757.08,597678.94,51933436.019999996,4,1
TEZSPIRE (,24283.347,13143.0,50842867.89,2567450.32,53410318.21,2,1
EYLEA (AFL,3077.853,47784.0,50746259.23,31706314.5,82452573.73,2,1
BAQSIMI,186629.0,102689.0,50502062.77,3076846.32,53578909.089999996,4,2
OPSUMIT  M,116732.0,3713.0,49598814.910000004,706285.19,50305100.1,1,1
HYDROCODON,178208083.749,3494672.0,49570070.45,1545833.4100000001,51115903.86,113,20
OXYCONTIN,4625399.0,87930.0,49435589.589999996,599760.19,50035349.78,12,1
IBRANCE,64134.0,3060.0,49260060.73,440646.52999999997,49700707.26,6,1
AMONDYS-45,59916.8,1316.0,49085332.04,155323.46000000002,49240655.5,1,1
XELJANZ XR,253617.0,7779.0,48895876.18,487283.26,49383159.44,2,1
HEMLIBRA 1,3169.174,1521.0,48876559.43,1219157.51,50095716.94,3,1
TECENTRIQ,137110.373,6983.0,48816458.74,13585343.87,62401802.61,3,1
TAGRISSO,83678.0,2684.0,48755247.15,143210.84,48898457.99,2,1
LYNPARZA 1,344406.0,3278.0,48667988.62,550607.92,49218596.54,4,1
NOVOSEVEN,5452.959,1029.0,48641389.86,14440595.719999999,63081985.58,4,1
OXERVATE,23562.0,1147.0,48457116.29,203492.05,48660608.34,1,1
EYLEA,3191.325,52816.0,48063582.3,40988334.449999996,89051916.75,3,1
VIMIZIM,164199.0,1204.0,47916775.5,395990.49,48312765.99,1,1
OPSUMIT (M,116430.0,4014.0,47823367.16,481948.51,48305315.67,1,1
AIMOVIG (E,66338.0,64472.0,47811566.08,1057394.18,48868960.26,2,1
ZENPEP,4497627.0,18476.0,47787638.0,1095123.8900000001,48882761.89,8,1
NUCALA SOL,12902.01,11486.0,47774719.62,757064.73,48531784.35,3,1
VYVANSE 60,3861280.0,130866.0,47745567.07,1100335.47,48845902.54,2,1
GUANFACINE,118633340.276,3056371.0,47738512.02,1327414.82,49065926.84,57,20
ENTYVIO,7979.103999999999,8095.0,47656078.95,6104181.32,53760260.27,1,1
SLYND,6990775.708,157004.0,47502698.92,297999.07,47800697.99,1,1
PROMACTA,110063.0,2992.0,47187103.25,124034.63,47311137.88,6,1
